QueryId,DocumentId
0,en-2021-VMware-vSphere-6-7-com-vmware-vsphere-vcenterhost-doc-GUID-ED375B12-7D08-4B7E-81EE-DCE83E51B1AF-html.txt
0,https---www.vmware.com-topics-glossary-content-hypervisor.txt
0,https---www.vmware.com-topics-glossary-content-cloud-hypervisor.txt
0,https---www.vmware.com-topics-glossary-content-bare-metal-hypervisor.txt
0,https---www.vmware.com-topics-glossary-content-hyperconvergence.txt
1,en-2021-VMware-vSphere-6-7-com-vmware-vsphere-vcenterhost-doc-GUID-ED375B12-7D08-4B7E-81EE-DCE83E51B1AF-html.txt
1,https---www.vmware.com-topics-glossary-content-hypervisor.txt
1,https---www.vmware.com-topics-glossary-content-cloud-hypervisor.txt
1,https---www.vmware.com-topics-glossary-content-bare-metal-hypervisor.txt
1,en-2021-VMware-Smart-Assurance-10-1-0-esm-user-configuration-guide-10-1-0-GUID-C90D1D4F-BA67-47A8-8F45-3A6F94AD0E62-html.txt
2,https---blogs.vmware.com-customer-experience-and-sucess-feed-items-what-is-vmware.txt
2,en-2021-VMware-vSphere-6-5-com-vmware-vsphere-html-hostclient-doc-GUID-85B40ADA-0D83-4737-BF06-C852C6EC204F-html.txt
2,en-2021-VMware-Workspace-ONE-UEM-1905-Anroid-Legacy-_Platform-GUID-AWT-APPSAWBFORANDROID-html.txt
2,en-2021-VMware-vSphere-5-5-com-vmware-vsphere-vm_admin-doc-GUID-151025AE-6641-428B-9818-5E06916543F3-html.txt
2,en-2021-VMware-Workspace-ONE-UEM-1909-Workspace-ONE-UEM-Windows-Phone-Device-Management-GUID-AWT-AWBROWSER-SNIP-html.txt
3,2075296.txt
3,1003872.txt
3,59799.txt
3,en-2021-VMware-vSphere-6-7-com-vmware-vsphere-vcenterhost-doc-GUID-8D3DCEC4-50B6-4523-BF24-0DE6C65600E9-html.txt
3,en-2021-VMware-vSphere-6-7-com-vmware-vsphere-vcenterhost-doc-GUID-B7662658-9C2C-4C6E-809B-F211B1B08157-html.txt
4,https---www.vmware.com-topics-glossary-content-desktop-virtualization.txt
4,https---www.vmware.com-solutions-virtualization.txt
